hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,total_stay,weekend_stay_ratio,is_weekend_arrival,arrival_season,lead_time_category,total_guests,is_solo_traveler,is_couple,is_family,is_group,total_previous_bookings,cancellation_rate_history,has_special_requests,has_booking_changes,has_parking_space,is_room_changed,adr_per_person,total_cost,net_revenue,is_domestic
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,1,48.5,388.0,388.0,0
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,0,0,Contract,97.5,0,0,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,48.75,390.0,390.0,1
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,0,0,Transient,88.2,0,0,Check-Out,2015-07-02,2015-07-01,1,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,0,0,0,1,44.1,88.2,88.2,0
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,110,0,Transient,107.42,0,0,Check-Out,2015-07-02,2015-07-01,1,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,0,1,53.71,107.42,107.42,0
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,0,Transient,153.0,0,1,Check-Out,2015-07-05,2015-07-01,4,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,1,0,0,0,76.5,612.0,612.0,0
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,97.29,0,1,Check-Out,2015-07-06,2015-07-01,5,0.2,0,Summer,Medium (31-90d),1,1,0,0,0,0,0.0,1,0,0,0,97.29,486.45000000000005,486.45000000000005,0
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,0,Transient,84.67,0,1,Check-Out,2015-07-07,2015-07-01,6,0.3333333333333333,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,1,0,0,42.335,508.02,508.02,1
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,99.67,0,1,Check-Out,2015-07-07,2015-07-01,6,0.3333333333333333,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,1,0,0,49.835,598.02,598.02,1
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,0,0,Contract,94.95,0,1,Check-Out,2015-07-01,2015-07-01,7,0.2857142857142857,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,1,47.475,664.65,664.65,0
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,63.6,1,0,Check-Out,2015-07-08,2015-07-01,7,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,1,0,31.8,445.2,445.2,1
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-08,2015-07-01,7,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,39.75,556.5,556.5,0
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,107.0,0,2,Canceled,2015-05-11,2015-07-01,7,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,0,53.5,749.0,0.0,1
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,94.0,0,0,Check-Out,2015-07-08,2015-07-01,7,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,47.0,658.0,658.0,1
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,87.3,1,1,Check-Out,2015-07-08,2015-07-01,7,0.2857142857142857,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,1,0,43.65,611.1,611.1,1
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,0,0,0,Transient,62.0,0,2,Check-Out,2015-07-15,2015-07-01,14,0.2857142857142857,0,Summer,Long (91-180d),1,1,0,0,0,0,0.0,1,1,0,0,62.0,868.0,868.0,0
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,63.86,0,0,Check-Out,2015-07-16,2015-07-01,15,0.26666666666666666,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,0,0,0,0,31.93,957.9,957.9,0
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,0,0,Transient,108.3,0,2,Canceled,2015-05-29,2015-07-01,10,0.2,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,0,54.15,1083.0,0.0,1
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,0,0,Transient,65.5,0,0,Check-Out,2015-07-08,2015-07-02,6,0.3333333333333333,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,1,32.75,393.0,393.0,0
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-05-19,2015-07-02,4,0.25,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,1,0,0,0,36.266666666666666,435.2,0.0,1
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-06-19,2015-07-02,4,0.25,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,1,0,0,0,36.266666666666666,435.2,0.0,1
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,0,0,Check-Out,2015-07-06,2015-07-02,4,0.25,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,0,0,0,1,49.0,392.0,392.0,0
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Check-Out,2015-07-06,2015-07-02,4,0.25,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,1,0,0,0,36.266666666666666,435.2,435.2,1
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,0,Canceled,2015-05-23,2015-07-02,4,0.25,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,0,0,0,0,36.266666666666666,435.2,0.0,1
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,137.0,0,1,Check-Out,2015-07-07,2015-07-02,5,0.4,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,0,68.5,685.0,685.0,0
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Canceled,2015-05-18,2015-07-02,5,0.4,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,58.905,589.05,0.0,1
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-07,2015-07-02,5,0.4,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,39.75,397.5,397.5,0
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-07,2015-07-02,5,0.4,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,0,0,0,0,61.5,615.0,615.0,0
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,2,Check-Out,2015-07-09,2015-07-02,7,0.2857142857142857,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,0,55.35,774.9,774.9,1
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,153.0,0,0,Canceled,2015-06-02,2015-07-02,7,0.2857142857142857,0,Summer,Medium (31-90d),4,0,0,1,0,0,0.0,0,0,0,0,38.25,1071.0,0.0,1
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,2015-07-09,2015-07-02,7,0.2857142857142857,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,0,29.475,412.65000000000003,412.65000000000003,0
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,2015-07-02,7,0.2857142857142857,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,0,41.44,580.16,580.16,0
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,0,0,Contract,82.35,0,0,Check-Out,2015-07-09,2015-07-02,7,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,1,0,1,41.175,576.4499999999999,576.4499999999999,0
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,0,0,Transient,119.35,0,1,Check-Out,2015-07-09,2015-07-02,7,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,1,0,1,59.675,835.4499999999999,835.4499999999999,0
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,2015-07-02,7,0.2857142857142857,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,0,33.79,473.06,473.06,0
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,0,Contract,56.01,0,0,Check-Out,2015-07-13,2015-07-02,11,0.2727272727272727,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,0,0,0,0,28.005,616.11,616.11,0
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,0,0,Contract,110.7,0,0,Check-Out,2015-07-16,2015-07-02,14,0.2857142857142857,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,55.35,1549.8,1549.8,0
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,88.2,1,0,Check-Out,2015-07-03,2015-07-02,1,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,1,1,44.1,88.2,88.2,0
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,147.0,1,0,Check-Out,2015-07-03,2015-07-02,1,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,1,0,73.5,147.0,147.0,0
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,1,2,Check-Out,2015-07-03,2015-07-02,1,0.0,0,Summer,Last-minute (0-7d),4,0,0,1,0,0,0.0,1,0,1,0,26.75,107.0,107.0,0
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,0,0,Transient,147.0,0,0,Check-Out,2015-07-03,2015-07-02,1,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,0,0,73.5,147.0,147.0,1
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,0,0,Transient,117.9,0,2,Check-Out,2015-07-03,2015-07-02,1,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,1,0,0,1,58.95,117.9,117.9,1
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-03,2015-07-02,1,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,0,0,61.5,123.0,123.0,1
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,0,0,Transient,98.0,0,1,Check-Out,2015-07-04,2015-07-02,2,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,1,0,0,1,49.0,196.0,196.0,0
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Check-Out,2015-07-04,2015-07-02,2,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,0,0,0,0,58.905,235.62,235.62,1
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,135.0,1,2,Check-Out,2015-07-04,2015-07-02,2,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,1,0,1,0,67.5,270.0,270.0,0
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,0,Transient,133.0,0,1,Check-Out,2015-07-05,2015-07-02,3,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,1,0,0,0,66.5,399.0,399.0,0
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,0,0,Contract,58.95,0,0,Check-Out,2015-07-05,2015-07-02,3,0.0,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,0,0,0,1,29.475,176.85000000000002,176.85000000000002,0
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,136.33,0,2,Canceled,2015-06-29,2015-07-02,3,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,1,0,0,0,68.165,408.99,0.0,1
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,0,0,Transient,153.0,1,0,Check-Out,2015-07-05,2015-07-03,2,0.0,0,Summer,Short (8-30d),4,0,0,1,0,0,0.0,0,0,1,1,38.25,306.0,306.0,0
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,110.5,0,0,Check-Out,2015-07-05,2015-07-03,2,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,0,1,55.25,221.0,221.0,0
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,0,Transient,97.0,0,0,Check-Out,2015-07-05,2015-07-03,2,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,48.5,194.0,194.0,0
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,2,Canceled,2015-06-16,2015-07-03,2,0.0,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,1,0,0,0,36.766666666666666,220.6,0.0,1
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,2,Canceled,2015-06-18,2015-07-03,2,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,0,41.0,164.0,0.0,1
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,1,Canceled,2015-07-03,2015-07-03,2,0.0,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,1,0,0,0,48.5,194.0,0.0,1
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,2015-06-12,2015-07-03,2,0.0,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,1,0,0,0,36.9,147.6,0.0,1
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,0,Transient,91.5,0,0,Check-Out,2015-07-05,2015-07-03,2,0.0,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,0,0,45.75,183.0,183.0,1
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,2015-07-05,2015-07-03,2,0.0,0,Summer,Short (8-30d),2,0,1,0,0,0,0.0,0,0,0,0,57.25,229.0,229.0,0
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,0,Canceled,2015-06-09,2015-07-03,2,0.0,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,0,0,0,0,36.766666666666666,220.6,0.0,1
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,90.9,1,0,Check-Out,2015-07-06,2015-07-03,3,0.3333333333333333,0,Summer,Last-minute (0-7d),2,0,1,0,0,0,0.0,0,0,1,0,45.45,272.70000000000005,272.70000000000005,0
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-05-26,2015-07-03,3,0.3333333333333333,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,0,0,61.5,369.0,0.0,1
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,122.0,0,0,Check-Out,2015-07-07,2015-07-03,4,0.5,0,Summer,Last-minute (0-7d),1,1,0,0,0,0,0.0,0,0,0,0,122.0,488.0,488.0,1
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,0,0,Transient,110.7,1,0,Check-Out,2015-07-07,2015-07-03,4,0.5,0,Summer,Medium (31-90d),2,0,1,0,0,0,0.0,0,0,1,0,55.35,442.8,442.8,0
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,85.86,0,0,Check-Out,2015-07-11,2015-07-03,8,0.25,0,Summer,Medium (31-90d),3,0,0,0,1,0,0.0,0,0,0,0,28.62,686.88,686.88,1
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,58.95,0,0,Check-Out,2015-07-12,2015-07-03,9,0.2222222222222222,0,Summer,Long (91-180d),2,0,1,0,0,0,0.0,0,0,0,0,29.475,530.5500000000001,530.5500000000001,0
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Canceled,2015-05-19,2015-07-03,10,0.3,0,Summer,Ultra-long (>180d),2,0,1,0,0,0,0.0,0,0,0,0,27.84,556.8,0.0,1
